PLATE_ID,WellID,X_POSITION,Y_POSITION,T_INDEX,Z_INDEX,SOURCE_DESCRIPTION,PATH,ImgID
0,22931,C03,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C03_s1_w1EDA6B026-C08E-40B5-8F98-740BE6735628.tif,22931_C03_1_1
1,22931,C03,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C03_s2_w17A9E07AC-F4CC-40BA-AE11-083D0D363867.tif,22931_C03_2_1
2,22931,C03,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C03_s3_w1D627FDB8-6C38-47A5-AC77-5E23F4C4522F.tif,22931_C03_1_2
3,22931,C03,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C03_s4_w14CC89352-58A3-4824-B61F-B3ECCE367D22.tif,22931_C03_2_2
4,22931,D03,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D03_s1_w134B1AFAB-56E3-4C48-B132-22571DBF50F5.tif,22931_D03_1_1
5,22931,D03,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D03_s2_w1FD29F77F-EDA4-43E9-8AB3-7781DEC5E05D.tif,22931_D03_2_1
6,22931,D03,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D03_s3_w18DEBCFB0-7BA3-44FA-BB26-389279865094.tif,22931_D03_1_2
7,22931,D03,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D03_s4_w176A12800-B077-48A6-87E3-AEBE3A34532E.tif,22931_D03_2_2
8,22931,E03,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E03_s1_w1E919A6C4-3159-437B-B051-41EB406FB71A.tif,22931_E03_1_1
9,22931,E03,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E03_s2_w1BF7BF46E-BBA1-46F2-AFD9-2E88629D26F3.tif,22931_E03_2_1
